Patch,NDVI_2023,NDVI_2024,Change,Class_2023,Class_2024
"(10:20,220:230)",-0.03245086412070761,-0.026145595852467833,0.00630526826823978,land,land
"(10:20,230:240)",0.15386768072645557,0.208772406371505,0.05490472564504942,land,land
"(10:20,240:250)",0.07199830041347105,0.11379603056640791,0.04179773015293686,land,land
"(10:20,250:260)",0.17276532263759034,0.19180510527720818,0.019039782639617836,land,land
"(10:20,260:270)",0.3388455862666164,0.3308186564864296,-0.00802692978018682,vegetation,vegetation
"(10:20,270:280)",0.4516553210015681,0.4295434392261947,-0.022111881775373377,vegetation,vegetation
"(10:20,280:290)",0.41805989830883006,0.39789616731416466,-0.020163730994665396,vegetation,vegetation
"(10:20,290:300)",0.29839001041401414,0.2785295959655352,-0.019860414448478914,land,land
"(10:20,300:310)",0.2098951843256205,0.1970067185835277,-0.012888465742092792,land,land
"(20:30,0:10)",0.19463976805104782,0.2302088075311049,0.035569039480057074,land,land
"(20:30,10:20)",0.19105763232283957,0.20115392502216747,0.010096292699327908,land,land
"(20:30,20:30)",0.22513101701429658,0.19463416434326333,-0.030496852671033248,land,land
"(20:30,30:40)",0.34734441940194677,0.3217146024237168,-0.02562981697822997,vegetation,vegetation
"(20:30,40:50)",0.16198250470853912,0.12368735384046137,-0.03829515086807775,land,land
"(20:30,50:60)",0.2056974348542975,0.20445918465512097,-0.0012382501991765327,land,land
"(20:30,60:70)",0.0977968559198934,0.13889902462922804,0.04110216870933464,land,land
"(20:30,70:80)",0.3042659614479131,0.3295234381732538,0.025257476725340677,land,vegetation
"(20:30,80:90)",0.3942321808650407,0.3715603929062695,-0.022671787958771172,vegetation,vegetation
"(20:30,90:100)",0.3870909696219104,0.3706939476264569,-0.01639702199545351,vegetation,vegetation
"(20:30,100:110)",0.40426510204256644,0.3617731751606247,-0.042491926881941755,vegetation,vegetation
"(20:30,110:120)",0.39615982947802103,0.2749892544164167,-0.12117057506160434,vegetation,land
"(20:30,120:130)",0.28259261109873085,0.13234786099044699,-0.15024475010828386,land,land
"(20:30,130:140)",0.22404768145931975,0.17436636017538415,-0.0496813212839356,land,land
"(20:30,140:150)",0.12403521660606195,0.08711088346070263,-0.036924333145359325,land,land
"(20:30,150:160)",0.14246813990261148,0.10952399215998593,-0.03294414774262555,land,land
"(20:30,160:170)",0.020125094289216716,0.029543287603858426,0.00941819331464171,land,land
"(20:30,170:180)",0.09063788184427414,0.1025503668212818,0.011912484977007656,land,land
"(20:30,180:190)",0.2083160413507265,0.2044513200347681,-0.0038647213159584137,land,land
"(20:30,190:200)",0.27543268369992685,0.26575344868681516,-0.009679235013111687,land,land
"(20:30,200:210)",0.00661960215571045,0.040066987651191655,0.03344738549548121,land,land
"(20:30,210:220)",-0.003923200111014419,0.03666778414335828,0.0405909842543727,land,land
"(20:30,220:230)",0.017298071784065908,0.04551543451374952,0.028217362729683615,land,land
"(20:30,230:240)",0.03088958224127083,0.08288342197852451,0.05199383973725368,land,land
"(20:30,240:250)",0.011969995548189333,0.0342422322586286,0.02227223671043927,land,land
"(20:30,250:260)",0.2120157882552648,0.20247204656186965,-0.009543741693395141,land,land
"(20:30,260:270)",0.40637536759695,0.40778813265285785,0.001412765055907872,vegetation,vegetation
"(20:30,270:280)",0.455640815285848,0.4501790543705935,-0.0054617609152544655,vegetation,vegetation
"(20:30,280:290)",0.4273418487875444,0.4172827496441102,-0.01005909914343417,vegetation,vegetation
"(20:30,290:300)",0.3401574150734206,0.326751460302663,-0.013405954770757622,vegetation,vegetation
"(20:30,300:310)",0.2390621141706049,0.22613178230410386,-0.012930331866501055,land,land
"(30:40,0:10)",0.41728965755056163,0.3995110579351116,-0.01777859961545003,vegetation,vegetation
"(30:40,10:20)",0.38729467667443196,0.36870900216054414,-0.018585674513887818,vegetation,vegetation
"(30:40,20:30)",0.4360219898431229,0.4128193870904148,-0.02320260275270808,vegetation,vegetation
"(30:40,30:40)",0.32034997348302874,0.29847119327221455,-0.021878780210814186,vegetation,vegetation
"(30:40,40:50)",0.32609780489948564,0.2932474408541502,-0.03285036404533542,vegetation,vegetation
"(30:40,50:60)",0.3363527819334975,0.3132248998847303,-0.0231278820487672,vegetation,vegetation
"(30:40,60:70)",0.16200228844001213,0.19727208814231192,0.03526979970229979,land,land
"(30:40,70:80)",0.3586505919548933,0.33599552777058067,-0.022655064184312623,vegetation,vegetation
"(30:40,80:90)",0.41021925213921034,0.37760519577509527,-0.032614056364115074,vegetation,vegetation
"(30:40,90:100)",0.38939508854508653,0.36396982093115005,-0.025425267613936486,vegetation,vegetation
"(30:40,100:110)",0.32091618667661115,0.2504551110145966,-0.07046107566201454,vegetation,land
"(30:40,110:120)",0.3560778243854636,0.31172975428941696,-0.04434807009604663,vegetation,vegetation
"(30:40,120:130)",0.36290211992820076,0.3416527855800795,-0.021249334348121263,vegetation,vegetation
"(30:40,130:140)",0.4004533087489894,0.3856167388141948,-0.014836569934794597,vegetation,vegetation
"(30:40,140:150)",0.34920214119270065,0.32896714606152655,-0.020234995131174105,vegetation,vegetation
"(30:40,150:160)",0.3110538566343599,0.27440225356314246,-0.03665160307121745,land,land
"(30:40,160:170)",0.2409783044310441,0.22108402836108776,-0.019894276069956335,land,land
"(30:40,170:180)",0.3176364605261497,0.29604997297588254,-0.021586487550267153,vegetation,vegetation
"(30:40,180:190)",0.37450075336456906,0.3382050484350818,-0.03629570492948725,vegetation,vegetation
"(30:40,190:200)",0.2108266885128813,0.1894086389907999,-0.0214180495220814,land,land
"(30:40,200:210)",0.008978435613739656,0.05889744150148151,0.049919005887741855,land,land
"(30:40,210:220)",0.16390357302414618,0.23307698088802373,0.06917340786387755,land,land
"(30:40,220:230)",0.28956155148676854,0.2848000147094044,-0.004761536777364128,land,land
"(30:40,230:240)",0.08583642027602334,0.16546875631151994,0.0796323360354966,land,land
"(30:40,240:250)",0.015681565091440423,0.06218431156757798,0.04650274647613756,land,land
"(30:40,250:260)",0.08894734824494298,0.10011608368200203,0.011168735437059055,land,land
"(30:40,260:270)",0.3834230643225329,0.3679502855432711,-0.015472778779261842,vegetation,vegetation
"(30:40,270:280)",0.43751508797137,0.4340456834053485,-0.0034694045660215167,vegetation,vegetation
"(30:40,280:290)",0.4150654641089158,0.4028804702977866,-0.012184993811129197,vegetation,vegetation
"(30:40,290:300)",0.40768560124866665,0.3969829405546988,-0.010702660693967858,vegetation,vegetation
"(30:40,300:310)",0.36814592409063807,0.3496889032724109,-0.018457020818227143,vegetation,vegetation
"(40:50,0:10)",0.48420944803382787,0.48534290081920667,0.0011334527853787968,vegetation,vegetation
"(40:50,10:20)",0.4317071462593921,0.42127388874615107,-0.010433257513241034,vegetation,vegetation
"(40:50,20:30)",0.35191507226047136,0.30055572596615693,-0.051359346294314434,vegetation,vegetation
"(40:50,30:40)",0.19332585771834082,0.14731088240600398,-0.04601497531233684,land,land
"(40:50,40:50)",0.28260017496966666,0.2580440042340545,-0.02455617073561217,land,land
"(40:50,50:60)",0.4089756466950371,0.38513472925115194,-0.023840917443885168,vegetation,vegetation
"(40:50,60:70)",0.367972286778306,0.34452036416247234,-0.023451922615833676,vegetation,vegetation
"(40:50,70:80)",0.45514622147488426,0.4289095498123292,-0.026236671662555056,vegetation,vegetation
"(40:50,80:90)",0.47465035115459286,0.4581650874408139,-0.016485263713778953,vegetation,vegetation
"(40:50,90:100)",0.4076950279518358,0.37101847687816736,-0.03667655107366846,vegetation,vegetation
"(40:50,100:110)",0.19029134953273275,0.14424628187569105,-0.046045067657041694,land,land
"(40:50,110:120)",0.12701316456929868,0.08503493629549708,-0.0419782282738016,land,land
"(40:50,120:130)",0.2939255186125893,0.18681514140787336,-0.10711037720471595,land,land
"(40:50,130:140)",0.37287084394766334,0.2881430807802872,-0.08472776316737612,vegetation,vegetation
"(40:50,140:150)",0.3337390516838758,0.2758733908949532,-0.05786566078892258,vegetation,land
"(40:50,150:160)",0.34256623714517587,0.30342966398891275,-0.03913657315626312,vegetation,vegetation
"(40:50,160:170)",0.2684662435338057,0.22060965487787673,-0.04785658865592898,land,land
"(40:50,170:180)",0.13417829219197072,0.09919225299139552,-0.034986039200575206,land,land
"(40:50,180:190)",0.07182914630533914,0.031114325471915824,-0.040714820833423315,land,land
"(40:50,190:200)",0.07149816605825787,0.060330580221721844,-0.011167585836536029,land,land
"(40:50,200:210)",0.026205029364827045,0.052890086098882606,0.02668505673405556,land,land
"(40:50,210:220)",0.05499596546542021,0.1498451101451975,0.09484914467977729,land,land
"(40:50,220:230)",0.4387263149463873,0.4337364915111226,-0.0049898234352647175,vegetation,vegetation
